"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"38",2394491,"4155297","2017",NA,"1960","PRIVATE","03","Etobicoke-Lakeshore","2645 BLOOR ST W","5","42","2022-12-30","91","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","3","4","5","5","4","5","4","5","5","5","5","5","4","3","N/A","W0327","43.648946892","-79.494356545","305239.348","4834111.89"
"39",2394492,"4155410","2017",NA,"1962","PRIVATE","02","Etobicoke Centre","416 THE WESTWAY","9","103","2022-12-29","69","Evaluation needs to be conducted in 2 years","18","3","3","4","3","4","4","N/A","2","4","5","2","4","5","3","4","3","3","3","3","N/A","W0221","43.6840527547","-79.565694704","299487.999","4838013.037"
"40",2394493,"4152905","2017",NA,"1993","SOCIAL HOUSING","04","Parkdale-High Park","93 LAVINIA AVE","5","68","2022-12-29","91","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","5","5","4","4","N/A","4","5","5","4","5","4","4","4","4","5","S0430","43.6473083382","-79.4777129608","306582.355","4833929.1"
"41",2394494,"4155228","2018",NA,"1962","PRIVATE","03","Etobicoke-Lakeshore","9 KINSDALE BLVD","4","23","2022-12-29","86","Evaluation needs to be conducted in 3 years","16","4","4","5","5","5","4","N/A","4","N/A","4","4","5","5","3","4","5","N/A","4","4","N/A","W0329","43.6352649375","-79.4919665857","305432.484","4832590.959"
"42",2394495,"4152941","2017",NA,"1958","PRIVATE","04","Parkdale-High Park","205 KEELE ST","4","42","2022-12-29","71","Evaluation needs to be conducted in 2 years","15","5","4","5","3","3","2","N/A","3","N/A","N/A","4","4","5","3","3","3","N/A","3","3","N/A","S0429","43.6597146756","-79.4617878892","307866.434","4835307.806"
"43",2394496,"4153574","2017",NA,"1991","SOCIAL HOUSING","13","Toronto Centre","330 DUNDAS ST E","4","29","2022-12-29","60","Evaluation needs to be conducted in 1 year","15","3","3","5","3","3","3","N/A","4","N/A","N/A","3","3","1","2","2","2","N/A","4","N/A","4","S1329","43.6587482686","-79.3702105377","315252.836","4835207.824"
"44",2394497,"4290959","2018",NA,"1962","PRIVATE","03","Etobicoke-Lakeshore","25 ELIZABETH ST","3","29","2022-12-29","81","Evaluation needs to be conducted in 2 years","16","4","4","5","4","4","4","N/A","3","N/A","4","4","4","5","4","4","4","4","4","N/A","N/A","W0336","43.6135850358","-79.4949390042","305192.817","4830182.433"
"45",2394498,"4152933","2017",NA,"1973","PRIVATE","04","Parkdale-High Park","299 GLENLAKE AVE","30","233","2022-12-29","81","Evaluation needs to be conducted in 2 years","19","5","4","5","4","5","5","3","3","4","4","4","4","5","4","5","4","2","4","3","N/A","S0428","43.656888484","-79.465364295","307575.602","4834997.723"
"46",2394499,"4155256","2017",NA,"1962","PRIVATE","03","Etobicoke-Lakeshore","3 HILL HEIGHTS RD","4","38","2022-12-29","74","Evaluation needs to be conducted in 2 years","17","3","4","5","3","3","4","N/A","4","N/A","2","3","4","5","3","4","4","5","4","3","N/A","W0327","43.6382045659","-79.4931680835","305335.532","4832917.528"
"47",2394500,"4155237","2017",NA,"1958","PRIVATE","03","Etobicoke-Lakeshore","8 NEWHOLM RD","4","26","2022-12-29","76","Evaluation needs to be conducted in 2 years","17","4","4","3","3","3","3","N/A","3","N/A","3","4","5","5","3","5","5","5","3","4","N/A","W0329","43.6354822227","-79.4882224103","305734.649","4832615.13"
"48",2394501,"4155226","2017",NA,"1947","PRIVATE","03","Etobicoke-Lakeshore","285 PARK LAWN RD","4","29","2022-12-29","73","Evaluation needs to be conducted in 2 years","17","3","4","4","3","4","3","N/A","3","N/A","3","3","5","5","4","3","3","5","3","4","N/A","W0329","43.6345619465","-79.4922664925","305408.295","4832512.859"
"49",2394502,"4155302","2017",NA,"1974","PRIVATE","03","Etobicoke-Lakeshore","52 MABELLE AVE","22","310","2022-12-29","77","Evaluation needs to be conducted in 2 years","19","5","4","5","5","4","4","3","3","4","4","3","4","5","4","3","4","4","3","2","N/A","W0321","43.6464029439","-79.5294506955","302408.377","4833828.787"
"50",2394503,"4152901","2017",NA,"1957","PRIVATE","04","Parkdale-High Park","9 MORNINGSIDE AVE","4","36","2022-12-29","75","Evaluation needs to be conducted in 2 years","15","3","4","4","3","4","2","N/A","4","4","N/A","3","4","5","4","4","4","N/A","4","N/A","N/A","S0430","43.645605233","-79.473469677","306924.468","4833740.943"
"51",2394504,"4155305","2017",NA,"1979","TCHC","03","Etobicoke-Lakeshore","41 MABELLE AVE","19","350","2022-12-29","91","Evaluation needs to be conducted in 3 years","19","5","5","5","4","5","5","4","4","5","N/A","4","5","5","4","5","5","4","4","3","5","W0321","43.6448379761","-79.5277127601","302548.527","4833654.887"
"52",2394505,"4155482","2017",NA,"1951","PRIVATE","03","Etobicoke-Lakeshore","51 STANLEY AVE","3","12","2022-12-29","86","Evaluation needs to be conducted in 3 years","16","4","4","5","5","3","5","N/A","5","N/A","4","5","5","3","4","4","4","N/A","5","4","N/A","W0336","43.6160393846","-79.4896739143","305617.776","4830455.127"
"53",2394506,"4152898","2020",NA,"1958","PRIVATE","04","Parkdale-High Park","93 COE HILL DR","4","33","2022-12-29","80","Evaluation needs to be conducted in 2 years","18","3","4","5","3","3","4","N/A","4","4","5","4","4","5","4","4","4","4","4","4","N/A","S0430","43.6414422476","-79.4724449481","307007.546","4833277.515"
"54",2394507,"4155375","2017",NA,"1965","PRIVATE","02","Etobicoke Centre","287 MARKLAND DR","10","118","2022-12-29","80","Evaluation needs to be conducted in 2 years","19","3","4","5","4","4","4","3","4","4","5","3","4","5","4","4","3","5","4","4","N/A","W0233","43.6275335945","-79.5780494311","298485.949","4831734.901"
"55",2394508,"4153569","2017",NA,"1988","SOCIAL HOUSING","13","Toronto Centre","223 SHERBOURNE ST","6","60","2022-12-29","54","Evaluation needs to be conducted in 1 year","17","2","3","5","1","2","3","2","3","3","N/A","1","2","3","3","2","4","N/A","4","N/A","3","S1329","43.6582200015","-79.3706451728","315217.87","4835149.078"
"56",2394509,"4152911","2017",NA,"1960","PRIVATE","04","Parkdale-High Park","111 RUNNYMEDE RD","4","16","2022-12-29","80","Evaluation needs to be conducted in 2 years","15","4","4","4","4","3","2","N/A","4","N/A","5","4","4","5","4","4","5","N/A","4","N/A","N/A","S0430","43.6505719581","-79.4757413114","306741.319","4834291.715"
"57",2394510,"4281915","2017",NA,"1952","PRIVATE","02","Etobicoke Centre","6 BEXHILL CRT","4","13","2022-12-29","84","Evaluation needs to be conducted in 2 years","15","4","5","5","4","3","2","N/A","4","N/A","4","4","5","5","4","5","5","N/A","4","N/A","N/A","W0229","43.662044955","-79.521338721","303063.01","4835567.277"
"58",2394511,"4281929","2017",NA,"1952","PRIVATE","02","Etobicoke Centre","7 BEXHILL CRT","4","13","2022-12-29","83","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","2","N/A","4","N/A","4","4","4","5","4","5","5","N/A","4","N/A","N/A","W0229","43.661751009","-79.521325389","303064.075","4835534.621"
"59",2394512,"4155210","2017",NA,"1949","PRIVATE","03","Etobicoke-Lakeshore","2688 BLOOR ST W","4","21","2022-12-29","83","Evaluation needs to be conducted in 2 years","15","4","4","5","4","4","3","N/A","4","N/A","N/A","4","5","5","4","4","5","N/A","3","4","N/A","W0322","43.6503142619","-79.4971169059","305016.898","4834262.829"
"60",2394513,"4155211","2017",NA,"1949","PRIVATE","03","Etobicoke-Lakeshore","2690 BLOOR ST W","4","18","2022-12-29","81","Evaluation needs to be conducted in 2 years","16","4","4","5","4","4","3","N/A","4","N/A","4","4","5","5","4","4","4","N/A","3","4","N/A","W0322","43.6503326449","-79.4973659893","304996.803","4834264.87"
"61",2394514,"4155212","2017",NA,"1949","PRIVATE","03","Etobicoke-Lakeshore","2692-2694 BLOOR ST W","4","40","2022-12-29","79","Evaluation needs to be conducted in 2 years","15","4","4","5","4","3","3","N/A","4","N/A","N/A","4","5","5","4","4","4","N/A","3","3","N/A","W0322","43.6502825734","-79.4978680746","304956.297","4834259.305"
"62",2394515,"4152903","2017",NA,"1940","PRIVATE","04","Parkdale-High Park","2555 BLOOR ST W","4","34","2022-12-29","82","Evaluation needs to be conducted in 2 years","17","4","4","5","5","3","4","N/A","5","N/A","4","4","4","5","4","5","3","3","4","4","N/A","S0430","43.6476402456","-79.4906914801","305535.289","4833965.806"
"63",2394516,"4156523","2017",NA,"1950","PRIVATE","02","Etobicoke Centre","4750 DUNDAS ST W","4","14","2022-12-29","86","Evaluation needs to be conducted in 3 years","14","5","4","5","4","4","2","N/A","4","N/A","N/A","4","5","5","4","5","5","N/A","4","N/A","N/A","W0229","43.652601481","-79.525645179","302689.552","4834490.961"
